콘텐츠명,등급,장애인전용객실여부,애완동물동반허용여부,조식제공여부,부대시설기타,LATE체크인여부,셔틀버스운행여부
나쿠펜다 제주,0,X,X,X,정보 없음,X,X
제주엘루이호텔,0,X,X,X,정보 없음,X,X
아인스호텔,0,X,X,X,정보 없음,X,X
씨스테이호텔,0,X,X,X,정보 없음,X,X
썬라이즈호텔,0,X,X,X,정보 없음,X,X
하도리민박,0,X,X,X,정보 없음,X,X
갤러리 호텔 비앤비,0,X,X,X,정보 없음,X,X
베스트웨스턴 제주 호텔,0,X,X,X,정보 없음,X,X
라마다제주시티홀,0,X,X,X,정보 없음,X,X
배배게스트하우스,0,X,X,X,정보 없음,X,X
마레보 리조트,0,X,X,X,정보 없음,X,X
푸른솔맑은향,0,X,X,X,정보 없음,X,X
샤모니리조트,0,X,X,X,정보 없음,X,X
홍익제주호텔,0,X,X,X,정보 없음,X,X
라마다앙코르 서귀포 이스트 호텔,0,X,X,X,정보 없음,X,X
동원호텔,0,X,X,X,정보 없음,X,X
제주카라반,0,X,X,X,정보 없음,X,X
아이랑 키즈풀빌라,0,X,X,X,정보 없음,X,X
다노이커플펜션,0,X,X,X,정보 없음,X,X
돌집조앤정,0,X,X,X,정보 없음,X,X
루하우스,0,X,X,X,정보 없음,X,X
호텔컬리넌제주,2,X,X,X,정보 없음,X,X
해호텔,0,X,X,X,정보 없음,X,X
일출봉관광호텔,0,X,X,X,정보 없음,X,X
올레관광호텔,0,X,X,X,정보 없음,X,X
소라담하우스,0,X,X,X,정보 없음,X,X
엠버리조트,0,X,X,X,정보 없음,X,X
달빛고운펜션,0,X,X,X,정보 없음,X,X
이린펜션,0,X,X,X,정보 없음,X,X
제주풍경하우스,0,X,X,X,정보 없음,X,X
제주해안휴양펜션(제주해안펜션),0,X,X,X,정보 없음,X,X
아마레펜션,0,X,X,X,정보 없음,X,X
아프리카게스트하우스,0,X,X,X,정보 없음,X,X
북마크하우스&카페,0,X,X,X,정보 없음,X,X
바다애펜션,0,X,X,X,정보 없음,X,X
플라마 펜션,0,X,X,X,정보 없음,X,X
미소가펜션,0,X,X,X,정보 없음,X,X
사계여행민박,0,X,X,X,정보 없음,X,X
허브올레펜션,0,X,X,X,정보 없음,X,X
더포그레이스호텔앤리조트,4,O,X,O,급속 전기차 충전소,O,X
달콤한아침,0,X,X,X,정보 없음,X,X
우진샘펜션,0,X,X,X,정보 없음,X,X
제주락,0,X,X,X,정보 없음,X,X
수상한소금밭게스트하우스,0,X,X,X,정보 없음,X,X
스토리인제주게스트하우스,0,X,X,X,정보 없음,X,X
아리스토캣펜션,0,X,X,X,정보 없음,X,X
몽마르뜨펜션,0,X,X,X,정보 없음,X,X
서귀포 늘바다 애견동반펜션,0,X,X,X,정보 없음,X,X
제주도연게스트하우스,0,X,X,X,제주도모퉁이스낵연회장,X,X
마이하프타임펜션,0,X,X,X,정보 없음,X,X
브라운 스위트 제주 호텔 & 리조트,0,O,X,O,정보 없음,O,X
그림리조트,0,X,X,X,정보 없음,X,X
두리안펜션,0,X,X,X,정보 없음,O,X
수상한집 광보네,0,X,X,X,정보 없음,O,X
추자섬민박,0,X,X,O,정보 없음,O,X
에코하우스민박펜션,0,X,X,O,정보 없음,O,O
이레민박,0,X,X,O,정보 없음,O,O
갤러리민박,0,X,O,X,정보 없음,O,O
추자바다25시,0,X,X,O,정보 없음,O,O
아이콘민박,0,X,X,O,노래방,O,O
대물민박,0,X,O,O,정보 없음,O,O
스테이 협재10길 ,0,X,X,X,정보 없음,X,X
마눌펜션,0,X,X,X,정보 없음,O,X
머무름민박,0,X,X,X,정보 없음,X,X
쌩텀펜션원,0,X,X,X,200여 평 유럽풍 정원,O,X
중문진실캠핑장,0,X,X,X,정보 없음,O,X
이뻬게스트하우스,0,X,X,X,정보 없음,O,X
헌치 게스트하우스,0,X,X,X,베란다 / 화장실 / TV / 냉장고 / 옷걸이 / 거울 / 선풍기 / 에어컨 / 샴푸 / 바디샴푸 / 수건 / 생수 / 비상벨 / 비상전등 / 소화기 등,O,X
골든파크 호텔,2,O,X,O,조식 식당,O,X
그랜드메르호텔,2,O,X,O,정보 없음,O,X
북촌플레이스,0,X,X,X,정보 없음,X,X
사계절민박,0,X,X,O,정보 없음,O,O
황재여관,0,X,X,X,정보 없음,O,X
아름다운펜션민박,0,X,O,X,정보 없음,O,O
나바론 민박,0,X,X,O,정보 없음,O,O
내사랑추자야펜션민박,0,X,O,O,정보 없음,O,O
동일민박,0,X,X,O,정보 없음,O,X
펜션 수망가라,0,X,O,X,주차장,O,X
호텔 시리우스 제주,4,O,X,O,정보 없음,O,X
바람스테이,0,X,X,X,정보 없음,X,X
여울목 펜션,0,X,X,X,정보 없음,O,X
밭담사이,0,X,O,X,정보 없음,O,X
여울목 펜션(강정동),0,X,X,X,정보 없음,O,X
라마다앙코르 서귀포호텔,4,O,X,X,정보 없음,O,X
그랜드밀리언스 호텔 인 서귀포,0,O,X,O,정보 없음,O,X
해녀신춘자할망 민박,0,X,X,X,정보 없음,X,X
토토하우스,0,X,O,X,키즈룸,O,X
틸다하우스,0,X,X,O,"모래놀이터,실내놀이터,실내도서관",O,X
청정고을민박,0,X,X,O,정보 없음,X,X
제주 벨루가,0,X,X,X,"공용 게임장, 노래방, 골프 야구연습장, 축구, 낚시대 무료대여",X,X
그랜드 하얏트 제주,5,O,X,O,"라운지, 키즈 아케이드",X,X
그랜드 조선 제주,5,O,X,O,정보 없음,X,X
월정에비뉴,0,X,X,O,정보 없음,X,X
리틀해녀 ,3,X,X,X,정보 없음,X,X
521 게스트 하우스,0,X,X,X,정보 없음,O,X
 제주치유숲 Global Ageing 치유농장,0,X,O,X,정보 없음,O,X
