날짜,총 입도객,렌터카 가동률,전세버스 가동률,총 입도객_norm,렌터카 가동률_norm,전세버스 가동률_norm,관광 포화 지수,년,월,월_str,한라산 탐방객,한라산_norm,웰니스 쾌적도,골프장 내장객(도외),골프_norm,골프 쾌적도,쾌적도 라벨,웰니스 라벨,골프 라벨
2023-01-01,1032565.0,71.1,12.2,0.71125314546057,0.519230297607205,0.1158610416293658,0.4487814948990469,2023,1,01월,108478.0,0.9363050462562627,0.6925432705776547,56430.0,0.13997551627840793,0.30880597862063897,보통,약간 혼잡,혼잡
2023-02-01,1054299.0,72.7,13.9,0.7262239955895594,0.5936380190111916,0.1591762067368608,0.4930127404458706,2023,2,02월,96854.0,0.8031173969817164,0.6480650687137934,88037.0,0.38746305537786035,0.10554968506801027,보통,약간 혼잡,비추천
2023-03-01,1069614.0,68.8,30.8,0.7367732994326383,0.4122691980889748,0.5897799069231352,0.5796074681482494,2023,3,03월,64091.0,0.42771934526269006,0.5036634067054697,117808.0,0.620574439771501,-0.04096697162325158,보통,보통,보통
2023-04-01,1157268.0,71.7,38.8,0.7971512739061104,0.5471331931337002,0.7936159780172295,0.7126334816856801,2023,4,04월,72630.0,0.5255591024164539,0.619096292051067,145938.0,0.8408365486356006,-0.12820306694992056,약간 혼잡,약간 혼잡,보통
2023-05-01,1180708.0,68.3,43.0,0.8132972538004472,0.3890167851502291,0.9006299153416291,0.7009813180974351,2023,5,05월,88780.0,0.7106056041184431,0.7057934611079391,150877.0,0.879509657618174,-0.17852833952073888,약간 혼잡,약간 혼잡,보통
2023-06-01,1156180.0,74.3,26.7,0.7964018359314927,0.6680457404151778,0.4853139204874118,0.6499204989446942,2023,6,06월,77445.0,0.5807293132954061,0.6153249061200501,140583.0,0.7989060974103162,-0.14898559846562198,약간 혼잡,약간 혼잡,보통
2023-07-01,1136079.0,73.3,13.3,0.7825558315860976,0.6215409145376865,0.1438885014048038,0.5159950825095293,2023,7,07월,35006.0,0.09446377238328707,0.3052294274464082,94937.0,0.4414910877689833,0.07450399474054598,보통,쾌적,비추천
2023-08-01,1178442.0,77.8,14.8,0.8117363839011055,0.8308126309863977,0.1821077647349465,0.6082189265408166,2023,8,08월,52116.0,0.2905099422979023,0.4493644344193594,109848.0,0.558246448781162,0.04997247775965452,약간 혼잡,보통,비추천
2023-09-01,1115308.0,70.7,26.1,0.7682483167232449,0.5006283672562089,0.4700262151553548,0.5796342997116027,2023,9,09월,61084.0,0.39326517618418344,0.4864497379478931,120645.0,0.6427885742488366,-0.06315427453723388,보통,보통,보통
2023-10-01,1188698.0,71.6,46.9,0.8188009389265457,0.5424827105459507,1.0,0.7870945498241655,2023,10,10월,114037.0,0.9999999999999999,0.8935472749120827,166265.0,1.0,-0.2129054501758345,약간 혼잡,매우 혼잡,추천
