날짜,총 입도객,렌터카 가동률,전세버스 가동률,총 입도객_norm,렌터카 가동률_norm,전세버스 가동률_norm,관광 포화 지수,년,월,월_str
2023-01-01,1032565.0,71.1,12.2,0.71125314546057,0.519230297607205,0.11586104162936581,0.4487814948990469,2023,1,01월
2023-02-01,1054299.0,72.7,13.9,0.7262239955895594,0.5936380190111916,0.15917620673686086,0.4930127404458706,2023,2,02월
2023-03-01,1069614.0,68.8,30.8,0.7367732994326383,0.4122691980889748,0.5897799069231352,0.5796074681482494,2023,3,03월
2023-04-01,1157268.0,71.7,38.8,0.7971512739061104,0.5471331931337002,0.7936159780172295,0.7126334816856801,2023,4,04월
2023-05-01,1180708.0,68.3,43.0,0.8132972538004472,0.3890167851502291,0.9006299153416291,0.7009813180974351,2023,5,05월
2023-06-01,1156180.0,74.3,26.7,0.7964018359314927,0.6680457404151778,0.48531392048741184,0.6499204989446942,2023,6,06월
2023-07-01,1136079.0,73.3,13.3,0.7825558315860976,0.6215409145376865,0.14388850140480383,0.5159950825095293,2023,7,07월
2023-08-01,1178442.0,77.8,14.8,0.8117363839011055,0.8308126309863977,0.18210776473494653,0.6082189265408166,2023,8,08월
2023-09-01,1115308.0,70.7,26.1,0.7682483167232449,0.5006283672562089,0.4700262151553548,0.5796342997116027,2023,9,09월
2023-10-01,1188698.0,71.6,46.9,0.8188009389265457,0.5424827105459507,1.0,0.7870945498241655,2023,10,10월
2023-11-01,1078194.0,69.3,27.9,0.7426833893427666,0.43552161102772047,0.515889331151526,0.5646981105073376,2023,11,11월
2023-12-01,1023174.0,70.4,15.7,0.7047844211778176,0.48667691949296144,0.20503932273303208,0.4655002211346037,2023,12,12월
2024-01-01,1054690.0,72.4,11.3,0.7264933248616877,0.5796865712479446,0.09292948363128026,0.46636979324697087,2024,1,01월
2024-02-01,1012661.0,70.9,11.6,0.6975428389837407,0.5099293324317071,0.10057333629730872,0.4360151692375855,2024,2,02월
2024-03-01,1083836.0,70.8,25.1,0.7465697211927601,0.5052788498439575,0.44454670626859305,0.5654650924351036,2024,3,03월
2024-04-01,1234668.0,72.6,38.7,0.8504660709974782,0.588987536423442,0.7910680271285535,0.7435072115164912,2024,4,04월
2024-05-01,1267892.0,72.4,41.5,0.8733514820900311,0.5796865712479446,0.8624106520114865,0.7718162351164874,2024,5,05월
2024-06-01,1188378.0,73.0,24.9,0.8185805159928345,0.607589466774439,0.43945080449124063,0.6218735957528381,2024,6,06월
